Scenario : ,JovianMoons
Dimension : ,1.000000,% of average semiMajorAxis
 Cube Dimension : ,115075.000000km 
Number of evaluations - N: ,1,
Evaluation Steps : ,30000000,
Step Length : ,86400.000000,days
Using a scaling of,10000000000.000000
Collision IDs,(1-2),(1-3),(1-4),(2-3),(2-4),(3-4),
Collision Pair,Himalia-Elara,Himalia-Lysithea,Himalia-Leda,Elara-Lysithea,Elara-Leda,Lysithea-Leda,
Total Collision Rate,1.901500,1.480000,1.931000,0.293700,0.407500,0.006300, * 10 ^ -10 per year.

Collision Rate - Block 1,1.901456,1.480015,1.931010,0.293660,0.407494,0.006316, * 10 ^ -10 per year.

Collision Count - Block 1,15.000000,27.000000,34.000000,9.000000,33.000000,3.000000,
