Scenario : ,JovianMoons
Dimension : ,1.000000,% of average semiMajorAxis
 Cube Dimension : ,115075.000000km 
Number of evaluations - N: ,1,
Evaluation Steps : ,100000000,
Step Length : ,86400.000000,days
Using a scaling of,10000000000.000000
Collision IDs,(1-2),(1-3),(1-4),(2-3),(2-4),(3-4),
Collision Pair,Himalia-Elara,Himalia-Lysithea,Himalia-Leda,Elara-Lysithea,Elara-Leda,Lysithea-Leda,
Total Collision Rate,2.340700,1.852200,1.603400,0.304300,0.426100,0.016500, * 10 ^ -10 per year.

Collision Rate - Block 1,2.340734,1.852160,1.603370,0.304275,0.426103,0.016501, * 10 ^ -10 per year.

Collision Count - Block 1,63.000000,121.000000,99.000000,31.000000,114.000000,25.000000,
