# THALASSA - GRAVITY FIELD FILE
# Contains normalized spherical harmonics coefficients and physical constants.
# Body:                              Earth
# Model:                             GRIM5-S1 (static)
# Max degree:                        99
# Max order:                         95
# GM [km^3/s^2]:                     3.986004414498200E+05
# Ellipsoid semi-major axis [km]:    6.378136460000000E+03
# 1/flattening:                      2.982576500000000E+02
# Angular velocity [rad/s]:          0.729211585530660E-04
# Normalized spherical harmonics coefficients:
#l  m                      Cbar                     Sbar
13  7   3.91942486773779966E-09 -6.89049396132419965E-09 
13  8  -1.02644726847250002E-08 -1.02154826222519997E-08 
13  9   2.46093338583980010E-08  4.54304940475540004E-08 
13 10   4.08759849341880017E-08 -3.69868755856549997E-08 
13 11  -4.41649463247479997E-08 -4.65234050848769968E-09 
13 12  -3.12015391730570027E-08  8.79739755963830002E-08 
13 13  -6.11987948487530046E-08  6.81188513943400051E-08 
14  0  -3.13506139224660021E-08  0.00000000000000000E+00 
14  1  -2.28384982873869986E-08  3.19666318676289992E-08 
14  2  -2.92555279630809994E-08 -6.74014611593889993E-09 
14  3   3.48872691863129995E-08  2.55475091851569989E-08 
14  4   3.59767951249889983E-09 -2.26266301785049997E-08 
14  5   2.73775416197110008E-08 -1.54984706587409990E-08 
14  6  -1.83870721662419992E-08  2.60244365370899999E-09 
14  7   3.70097143509989986E-08 -2.26474353340889980E-09 
14  8  -3.43336327173510020E-08 -1.57531231197069991E-08 
14  9   3.13853012076689994E-08  2.79573010793289998E-08 
14 10   3.89768459142640028E-08 -9.98695628830649972E-10 
14 11   1.56591526318630010E-08 -3.91294178202629968E-08 
14 12   8.42981030962099970E-09 -3.11809712567640028E-08 
14 13   3.22144517493759988E-08  4.51299271059110023E-08 
14 14  -5.19027950438110015E-08 -4.79419494691150021E-09 
15  0  -2.85893335185249987E-11  0.00000000000000000E+00 
15  1   3.61238382525590018E-09  6.51397564091169975E-09 
15  2  -2.12890490225150013E-08 -2.44022044761150007E-08 
15  3   5.07589460689110015E-08  1.82292933964519989E-08 
15  4  -4.25022513850299994E-08  3.58037597487009992E-09 
15  5   1.37117599683460001E-08  1.00596467378190006E-08 
15  6   3.40959713414430015E-08 -3.83763346331009985E-08 
15  7   5.79922892793889971E-08  5.33323892985950014E-09 
15  8  -3.11592368135729989E-08  2.29291361131169985E-08 
15  9   1.29494950765139995E-08  3.81238953375830032E-08 
15 10   1.02991875856589997E-08  1.44571111344170007E-08 
15 11  -1.08460654436149996E-09  1.86610125218659998E-08 
15 12  -3.22233110291809997E-08  1.57887762689770012E-08 
15 13  -2.83851699858729995E-08 -4.56949605230220037E-09 
15 14   5.22560664753650009E-09 -2.44169114193229997E-08 
