Breakup Type : Explosion, Mass of Target : 1000.000000[kg], Mass of Projectile : 10.000000[kg], Minimum Length : 0.000000[m], Catastrophic Threshold : 40.000000[J/g], Bridiging Function :Weighted
ParentID, ID, nFrag(representative), Length, Mass[kg], Area[m^2], A/m[m^2/kg], Dv[km/s], (dVx, dVy, dVz)
-858993460,-858993460,1,2.000000,1000.000000,2.235061,0.002235,160317984226863531299091973963525057021779120341809904111058944.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,-92559631349317830736831783200707727132248687965119994463780864.000000
-858993460,-858993460,1,2.000000,10.000000,2.235061,0.223506,160317984226863531299091973963525057021779120341809904111058944.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,-92559631349317830736831783200707727132248687965119994463780864.000000
